IATA,Latitude,Longitude,
AAE,36.822201,7.809174,
AAL,57.09275891,9.849243164,
AAN,24.26169968,55.60919952,
AAQ,45.0021019,37.34730148,
AAR,56.29999924,10.61900043,
AAT,47.74988556,88.0858078,
AAX,-19.5632,-46.96039963,
AAY,16.19169998,52.17499924,
ABA,53.74000168,91.38500214,
ABB,6.204167,6.665278,
ABD,30.37109947,48.22829819,
ABE,40.65209961,-75.44080353,
ABI,32.41130066,-99.68190002,
ABJ,5.261390209,-3.926290035,
ABL,67.1063,-157.856989,
ABM,-10.9508,142.459,
ABQ,35.040199,-106.609001,
ABR,45.44910049,-98.42179871,
ABS,22.37599945,31.61170006,
ABT,20.29610062,41.63430023,
ABV,9.006790161,7.263169765,
ABX,-36.06779861,146.9579926,
ABY,31.53549957,-84.19450378,
ABZ,57.20190048,-2.197779894,
ACA,16.75709915,-99.7539978,
ACC,5.6051898,-0.166786,
ACE,28.945499,-13.6052,
ACH,47.48500061,9.560770035,
ACI,49.706104,-2.21472,
ACK,41.25310135,-70.06020355,
ACR,-0.5833,-72.4083,
ACT,31.61129951,-97.23049927,
ACV,40.978101,-124.109,
ACX,25.08638889,104.9594444,
ACY,39.45759964,-74.57720184,
ACZ,31.09830093,61.54389954,
ADA,36.98220062,35.28039932,
ADB,38.29240036,27.15699959,
ADD,8.977890015,38.79930115,
ADE,12.8295002,45.02880096,
ADF,37.73139954,38.46889877,
ADK,51.87799835,-176.6459961,
ADL,-34.945,138.531006,
ADQ,57.75,-152.4940033,
ADU,38.32569885,48.42440033,
ADZ,12.5836,-81.7112,
AEB,23.72060013,106.9599991,
AEP,-34.5592,-58.4156,
AER,43.449902,39.9566,
AES,62.5625,6.119699955,
AET,66.55180359,-152.621994,
AEX,31.32740021,-92.54979706,
AEY,65.66000366,-18.0727005,
AFA,-34.588299,-68.4039,
AFL,-9.866389275,-56.10499954,
AFZ,36.16809845,57.59519958,
AGA,30.32500076,-9.413069725,
AGB,48.425278,10.931667,
AGF,44.17470169,0.590556026,
AGH,56.29610062,12.84710026,
AGN,57.503601,-134.585007,
AGP,36.67490005,-4.499110222,
AGR,27.15579987,77.96089935,
AGS,33.36989975,-81.96450043,
AGT,-25.454516,-54.842682,
AGU,21.705601,-102.318001,
AGX,10.82369995,72.1760025,
AHB,18.24040031,42.65660095,
AHE,-14.42809963,-146.2570038,
AHN,33.94860077,-83.32630157,
AHO,40.632099,8.29077,
AHU,35.17710114,-3.839519978,
AIA,42.05319977,-102.8040009,
AIN,70.63800049,-159.9949951,
AIT,-18.83090019,-159.7640076,
AIU,-19.96780014,-158.1190033,
AJA,41.92359924,8.802920341,
AJF,29.78510094,40.09999847,
AJI,39.65454102,43.02597809,
AJL,23.84059906,92.61969757,
AJR,65.59030151,19.28190041,
AJU,-10.98400021,-37.07030106,
AKB,52.22029877,-174.2059937,
AKF,24.17869949,23.31399918,
AKI,60.9029007,-161.2310028,
AKJ,43.67079926,142.4470062,
AKK,56.93870163,-154.1829987,
AKL,-37.0080986,174.7920074,
AKN,58.67679977,-156.6490021,
AKP,68.13359833,-151.7429962,
AKU,41.262501,80.291702,
AKV,60.8185997,-78.14859772,
AKX,50.2458,57.206699,
AKY,20.13269997,92.87259674,
ALA,43.35210037,77.04049683,
ALB,42.74829865,-73.80169678,
ALC,38.28219986,-0.558156014,
ALF,69.97609711,23.37170029,
ALG,36.69100189,3.215409994,
ALH,-34.94329834,117.8089981,
ALO,42.55709839,-92.40029907,
ALS,37.434898,-105.866997,
ALW,46.09489822,-118.288002,
AMA,35.219398,-101.706001,
AMD,23.07719994,72.63469696,
AMH,6.039390087,37.59049988,
AMM,31.72260094,35.99319839,
AMQ,-3.710259914,128.0890045,
AMS,52.308601,4.76389,
ANC,61.17440033,-149.9960022,
ANF,-23.444501,-70.445099,
ANG,45.72919846,0.221456006,
ANI,61.58160019,-159.5429993,
ANM,-14.99940014,50.32020187,
ANR,51.18939972,4.460279942,
ANS,-13.70639992,-73.35040283,
ANU,17.1367,-61.792702,
ANV,62.646702,-160.190994,
ANX,69.29250336,16.14419937,
AOE,39.809898,30.5194,
AOG,41.105301,122.853996,
AOI,43.616299,13.3623,
AOJ,40.73469925,140.6909943,
AOK,35.42139816,27.14599991,
AOO,40.29639816,-78.31999969,
AOR,6.189670086,100.3980026,
APF,26.15259933,-81.77529907,
APL,-15.10560036,39.28179932,
APN,45.0780983,-83.56030273,
APO,7.81196,-76.7164,
APW,-13.82999992,-172.0079956,
AQA,-21.81200027,-48.13299942,
AQG,30.582199,117.050003,
AQI,28.335199,46.125099,
AQJ,29.61160088,35.01810074,
AQP,-16.34110069,-71.58309937,
ARC,68.1147,-145.578995,
ARH,64.60030365,40.71670151,
ARI,-18.348499,-70.338699,
ARK,-3.367789984,36.63330078,
ARM,-30.52809906,151.6170044,
ARN,59.65190125,17.91860008,
ART,43.9919014,-76.021698,
ARU,-21.1413002,-50.42470169,
ARW,46.17660141,21.26199913,
ASB,37.986801,58.361,
ASE,39.22320175,-106.8690033,
ASF,46.28329849,48.00630188,
ASJ,28.43059921,129.7129974,
ASM,15.29189968,38.91070175,
ASO,10.01850033,34.5862999,
ASP,-23.80669975,133.9019928,
ASR,38.770401,35.49539948,
ASU,-25.23999977,-57.52000046,
ASV,-2.645050049,37.25310135,
ASW,23.96439934,32.81999969,
ATA,-9.347439766,-77.5983963,
ATC,24.6294,-75.673797,
ATD,-8.87333,161.011002,
ATH,37.93640137,23.94449997,
ATK,70.46730042,-157.4360046,
ATL,33.6367,-84.428101,
ATM,-3.253910065,-52.25400162,
ATQ,31.70960045,74.79730225,
ATW,44.2580986,-88.51909637,
ATY,44.91400146,-97.15470123,
ATZ,27.04649925,31.01199913,
AUA,12.5014,-70.015198,
AUC,7.06888,-70.7369,
AUG,44.3205986,-69.79730225,
AUH,24.43300056,54.65110016,
AUK,62.68004227,-164.6599274,
AUQ,-9.768790245,-139.0110016,
AUR,44.89139938,2.421940088,
AUS,30.19449997,-97.66989899,
AUU,-13.354067,141.72065,
AUX,-7.22787,-48.240501,
AUY,-20.24920082,169.7709961,
AVA,26.26055556,105.8733333,
AVL,35.43619919,-82.54180145,
AVN,43.90729904,4.901830196,
AVP,41.33850098,-75.7233963,
AVV,-38.039398,144.468994,
AWD,-19.2346,169.6009,
AWZ,31.33740044,48.76200104,
AXA,18.2048,-63.055099,
AXD,40.85589981,25.95630074,
AXK,14.55130005,46.82619858,
AXM,4.45278,-75.7664,
AXP,22.44179916,-73.97090149,
AXR,-15.2482996,-146.6170044,
AXT,39.61560059,140.2189941,
AXU,14.14680004,38.77280045,
AYP,-13.15480042,-74.20439911,
AYQ,-25.1861,130.975998,
AYT,36.898701,30.800501,
AZA,33.30780029,-111.6549988,
AZD,31.9048996,54.2765007,
AZI,24.42830086,54.45809937,
AZN,40.72769928,72.29399872,
AZO,42.23490143,-85.55210114,
AZR,27.83760071,-0.186414003,
AZS,19.2670002,-69.74199677,
BAH,26.27079964,50.63359833,
BAL,37.92900085,41.11660004,
BAQ,10.8896,-74.7808,
BAV,40.56000137,109.9970016,
BAX,53.36380005,83.53849792,
BAY,47.65840149,23.46999931,
BAZ,-0.981292,-62.919601,
BBA,-45.91609955,-71.6894989,
BBI,20.24440002,85.81780243,
BBK,-17.83289909,25.16239929,
BBN,3.733890057,115.4789963,
BBO,10.38920021,44.94110107,
BCD,10.7764,123.014999,
BCI,-23.56529999,145.3070068,
BCN,41.2971,2.07846,
BDA,32.36399841,-64.67870331,
BDB,-24.90390015,152.3190002,
BDH,26.53199959,54.82479858,
BDJ,-3.442359924,114.7630005,
BDL,41.93889999,-72.68319702,
BDO,-6.900629997,107.5759964,
BDP,26.57080078,88.07959747,
BDQ,22.336201,73.226303,
BDS,40.6576,17.947001,
BDU,69.05580139,18.54039955,
BEB,57.48109818,-7.362780094,
BEG,44.81840134,20.3090992,
BEJ,2.1555,117.431999,
BEL,-1.37925005,-48.47629929,
BEN,32.09680176,20.26950073,
BES,48.44789886,-4.418540001,
BET,60.77980042,-161.8379974,
BEU,-24.34609985,139.4600067,
BEW,-19.79640007,34.9076004,
BEY,33.82089996,35.48839951,
BFD,41.80310059,-78.64009857,
BFF,41.87400055,-103.5960007,
BFI,47.52999878,-122.302002,
BFJ,27.267066,105.472097,
BFL,35.43360138,-119.0569992,
BFN,-29.09269905,26.30240059,
BFS,54.65750122,-6.215829849,
BFV,15.22949982,103.2529984,
BGA,7.1265,-73.1848,
BGF,4.398479939,18.51880074,
BGG,38.85926056,40.59596252,
BGI,13.07460022,-59.49250031,
BGM,42.20869827,-75.97979736,
BGO,60.29339981,5.218140125,
BGR,44.80739975,-68.82810211,
BGW,33.26250076,44.23460007,
BGY,45.673901,9.70417,
BHB,44.45000076,-68.3615036,
BHD,54.61809921,-5.872499943,
BHE,-41.5182991,173.8699951,
BHH,19.9843998,42.6208992,
BHI,-38.725,-62.1693,
BHJ,23.28779984,69.67019653,
BHK,39.77500153,64.48329926,
BHM,33.56290054,-86.75350189,
BHO,23.28750038,77.33740234,
BHQ,-32.00139999,141.4720001,
BHR,27.678101,84.429398,
BHS,-33.40940094,149.6519928,
BHU,21.75219917,72.18520355,
BHV,29.34810066,71.71800232,
BHX,52.45389938,-1.748029947,
BHY,21.5394,109.293999,
BIA,42.55270004,9.483730316,
BIK,-1.190019965,136.1080017,
BIL,45.80770111,-108.5429993,
BIM,25.69989967,-79.26470184,
BIO,43.30110168,-2.910609961,
BIQ,43.4683333,-1.5311111,
BIR,26.48150063,87.26399994,
BIS,46.77270126,-100.7460022,
BJA,36.7120018,5.069920063,
BJB,37.49300003,57.30820084,
BJF,70.60050201,29.69140053,
BJI,47.50939941,-94.93370056,
BJL,13.3380003,-16.6522007,
BJM,-3.324019909,29.31850052,
BJR,11.60809994,37.32160187,
BJV,37.25059891,27.66430092,
BJX,20.9935,-101.481003,
BJZ,38.8913002,-6.82133007,
BKC,65.9815979,-161.1490021,
BKG,36.532082,-93.200544,
BKI,5.937210083,116.0510025,
BKK,13.68109989,100.7470016,
BKM,3.973999977,115.6179962,
BKO,12.5335,-7.94994,
BKQ,-24.42779922,145.4290009,
BKS,-3.8637,102.338997,
BKW,37.78730011,-81.12419891,
BKY,-2.308979988,28.80879974,
BKZ,-1.332,31.8212,
BLA,10.111111,-64.692222,
BLE,60.42200089,15.51519966,
BLI,48.7928009,-122.538002,
BLJ,35.7521019,6.308589935,
BLK,53.77170181,-3.028609991,
BLL,55.74029922,9.151780128,
BLQ,44.5354,11.2887,
BLR,13.1979,77.706299,
BLV,38.5452,-89.835197,
BLZ,-15.67910004,34.97399902,
BMA,59.35440063,17.94169998,
BME,-17.94470024,122.2320023,
BMI,40.47710037,-88.91590118,
BMU,-8.539649963,118.6869965,
BMV,12.66829968,108.1200027,
BMW,21.375,0.923888981,
BMY,-19.72060013,163.6609955,
BNA,36.12450027,-86.67819977,
BNB,-0.216999993,20.85000038,
BNC,0.575,29.4739,
BND,27.21829987,56.37779999,
BNE,-27.38419914,153.1170044,
BNI,6.316979885,5.599500179,
BNK,-28.83390045,153.5619965,
BNN,65.46109772,12.21749973,
BNS,8.615,-70.21416667,
BNX,44.94139862,17.29750061,
BOB,-16.44440079,-151.7510071,
BOC,9.340849876,-82.25080109,
BOD,44.82830048,-0.715556026,
BOG,4.70159,-74.1469,
BOH,50.77999878,-1.842499971,
BOI,43.5644,-116.223,
BOJ,42.56959915,27.51519966,
BOM,19.08869934,72.86789703,
BON,12.13099957,-68.26850128,
BOO,67.26920319,14.36530018,
BOS,42.36429977,-71.00520325,
BOY,11.16009998,-4.33096981,
BPL,44.895,82.3,
BPN,-1.268270016,116.8939972,
BPS,-16.438601,-39.080898,
BPT,29.95079994,-94.02069855,
BPX,30.55360031,97.10829926,
BQB,-33.68842316,115.4015961,
BQK,31.25880051,-81.46649933,
BQL,-22.91329956,139.8999939,
BQN,18.49489975,-67.12940216,
BQS,50.42539978,127.4120026,
BRA,-12.07890034,-45.00899887,
BRC,-41.151199,-71.157501,
BRD,46.39830017,-94.13809967,
BRE,53.04750061,8.786669731,
BRI,41.138901,16.760599,
BRL,40.78319931,-91.12550354,
BRM,10.04274654,-69.35861969,
BRN,46.91410065,7.497149944,
BRO,25.90679932,-97.42590332,
BRQ,49.15129852,16.69440079,
BRR,57.0228,-7.44306,
BRS,51.382702,-2.71909,
BRU,50.90140152,4.48443985,
BRW,71.285402,-156.766008,
BSA,11.27530003,49.1493988,
BSB,-15.86916733,-47.92083359,
BSC,6.20292,-77.3947,
BSD,25.053301,99.168297,
BSG,1.905470014,9.805680275,
BSK,34.79330063,5.738230228,
BSL,47.59,7.5291667,
BSO,20.4513,121.980003,
BSR,30.54910088,47.66210175,
BTC,7.70576,81.678802,
BTH,1.121029973,104.1190033,
BTI,70.13400269,-143.5820007,
BTJ,5.522872024,95.42063713,
BTK,56.37060165,101.697998,
BTM,45.95479965,-112.4970016,
BTR,30.533199,-91.149597,
BTS,48.17020035,17.21269989,
BTT,66.91390228,-151.529007,
BTU,3.123850107,113.0199966,
BTV,44.47190094,-73.15329742,
BUA,-5.422319889,154.6730042,
BUC,-17.74860001,139.5339966,
BUD,47.42976,19.261093,
BUF,42.94049835,-78.73220062,
BUL,-7.216286671,146.6495419,
BUN,3.81963,-76.9898,
BUQ,-20.017401,28.617901,
BUR,34.20069885,-118.3590012,
BUS,41.61029816,41.59970093,
BUW,-5.486879826,122.5690002,
BUX,1.565719962,30.2208004,
BUZ,28.94479942,50.83459854,
BVA,49.45439911,2.112780094,
BVB,2.841388941,-60.6922226,
BVC,16.1364994,-22.88890076,
BVE,45.039722,1.485556,
BVG,70.871399,29.034201,
BVH,-12.69439983,-60.09830093,
BVI,-25.89749908,139.3480072,
BWA,27.505685,83.416293,
BWI,39.1754,-76.668297,
BWK,43.28570175,16.67970085,
BWN,4.944200039,114.9280014,
BWT,-40.99890137,145.7310028,
BXB,-2.532239914,133.4389954,
BXR,29.08419991,58.45000076,
BXU,8.9515,125.4788,
BYC,-21.96089935,-63.65169907,
BYN,46.16329956,100.7040024,
BYO,-21.247299,-56.452499,
BZE,17.53910065,-88.30819702,
BZG,53.09680176,17.97769928,
BZL,22.8010006,90.30120087,
BZN,45.77750015,-111.1529999,
BZO,46.460201,11.3264,
BZR,43.32350159,3.353899956,
BZV,-4.251699924,15.25300026,
CAB,-5.596990108,12.18840027,
CAC,-25.00029945,-53.50080109,
CAE,33.93880081,-81.11949921,
CAG,39.251499,9.05428,
CAH,9.177667,105.177778,
CAI,30.12190056,31.40559959,
CAJ,6.231988907,-62.85443115,
CAK,40.91609955,-81.44219971,
CAL,55.43719864,-5.686389923,
CAN,23.39240074,113.2990036,
CAP,19.733,-72.194702,
CAW,-21.69829941,-41.30170059,
CAY,4.819809914,-52.36040115,
CBB,-17.42110062,-66.17710114,
CBH,31.64570045,-2.269860029,
CBO,7.165239811,124.2099991,
CBQ,4.976019859,8.347200394,
CBR,-35.30690002,149.1950073,
CBT,-12.4792,13.4869,
CCC,22.46100044,-78.32839966,
CCF,43.2159996,2.306319952,
CCJ,11.13679981,75.95529938,
CCK,-12.18830013,96.83390045,
CCM,-28.72444344,-49.42139053,
CCP,-36.772701,-73.063103,
CCS,10.601194,-66.991222,
CCU,22.65469933,88.44670105,
CCV,-16.264999,167.923996,
CDB,55.20610046,-162.7250061,
CDC,37.70100021,-113.098999,
CDG,49.012798,2.55,
CDJ,-8.348349571,-49.30149841,
CDR,42.83760071,-103.0950012,
CDV,60.4917984,-145.4779968,
CEB,10.30749989,123.9789963,
CEC,41.78020096,-124.2369995,
CED,-32.13059998,133.7100067,
CEE,59.27360153,38.01580048,
CEG,53.17810059,-2.977780104,
CEI,19.95229912,99.88289642,
CEK,55.305801,61.5033,
CEM,65.57379913,-144.7830048,
CEN,27.39259911,-109.8330002,
CEZ,37.3030014,-108.6279984,
CFB,-22.92169952,-42.07429886,
CFC,-26.78840065,-50.93980026,
CFE,45.7867012,3.169169903,
CFK,36.21269989,1.331769943,
CFN,55.0442009,-8.340999603,
CFR,49.1733017,-0.449999988,
CFS,-30.32060051,153.1159973,
CFU,39.60189819,19.9116993,
CGB,-15.65289974,-56.11669922,
CGD,28.91889954,111.6399994,
CGH,-23.62611008,-46.65638733,
CGI,37.22529984,-89.57080078,
CGK,-6.12556982,106.6559982,
CGM,9.253520012,124.7070007,
CGN,50.86589813,7.142739773,
CGO,34.5196991,113.8410034,
CGP,22.24959946,91.81330109,
CGQ,43.99620056,125.6849976,
CGR,-20.46870041,-54.67250061,
CGY,8.612203,124.456496,
CHA,35.03530121,-85.20379639,
CHC,-43.48939896,172.5319977,
CHG,41.538101,120.434998,
CHO,38.1385994,-78.45290375,
CHQ,35.53170013,24.14970016,
CHS,32.89860153,-80.04049683,
CHU,61.579102,-159.216003,
CHX,9.458962,-82.515062,
CHY,-6.711944,156.396111,
CIA,41.7994,12.5949,
CIC,39.79539871,-121.8580017,
CID,41.88470078,-91.71080017,
CIF,42.23500061,118.9079971,
CIH,36.247501,113.125999,
CIJ,-11.04039955,-68.78299713,
CIK,66.64499664,-143.7400055,
CIP,-13.55830002,32.58720016,
CIT,42.36420059,69.47889709,
CIU,46.25080109,-84.47239685,
CIX,-6.787479877,-79.82810211,
CIY,36.994601,14.607182,
CIZ,-4.134059906,-63.13259888,
CJA,-7.139180183,-78.48940277,
CJB,11.02999973,77.04340363,
CJC,-22.49819946,-68.9036026,
CJJ,36.717008,127.498741,
CJL,35.88660049,71.80059814,
CJM,10.71119976,99.36170197,
CJS,31.63610077,-106.4290009,
CJU,33.51129913,126.4929962,
CKB,39.29660034,-80.22810364,
CKG,29.71920013,106.6419983,
CKH,70.62310028,147.9019928,
CKS,-6.115277767,-50.00138855,
CKY,9.57689,-13.612,
CKZ,40.13769913,26.42679977,
CLD,33.12829971,-117.2799988,
CLE,41.4117012,-81.84980011,
CLJ,46.78519821,23.68619919,
CLL,30.58860016,-96.36380005,
CLM,48.12020111,-123.5,
CLO,3.54322,-76.3816,
CLQ,19.277,-103.577002,
CLT,35.2140007,-80.94309998,
CLV,-17.72529984,-48.60749817,
CLY,42.5244444,8.7930556,
CMA,-28.03000069,145.621994,
CMB,7.180759907,79.88410187,
CME,18.65369987,-91.7990036,
CMG,-19.01194382,-57.67139053,
CMH,39.998001,-82.891899,
CMI,40.03919983,-88.27809906,
CMN,33.36750031,-7.589970112,
CMU,-6.024290085,144.970993,
CMW,21.42029953,-77.84750366,
CMX,47.16839981,-88.4890976,
CND,44.36220169,28.48830032,
CNF,-19.62444305,-43.9719429,
CNJ,-20.66860008,140.5039978,
CNM,32.33750153,-104.2630005,
CNP,70.74310303,-22.65049934,
CNS,-16.88579941,145.7550049,
CNX,18.76679993,98.96260071,
CNY,38.75500107,-109.7549973,
COD,44.52019882,-109.0240021,
COK,10.152,76.401901,
COO,6.357230186,2.384350061,
COQ,48.13570023,114.6460037,
COR,-31.323601,-64.208,
COS,38.805801,-104.700996,
COU,38.81809998,-92.21959686,
CPC,-40.075401,-71.137299,
CPD,-29.04000092,134.720993,
CPE,19.81679916,-90.50029755,
CPH,55.61790085,12.65600014,
CPO,-27.26119995,-70.77919769,
CPR,42.908001,-106.463997,
CPT,-33.96480179,18.60169983,
CPV,-7.26992,-35.8964,
CPX,18.313289,-65.304324,
CRA,44.31809998,23.8885994,
CRD,-45.7853,-67.4655,
CRI,22.74559975,-74.18240356,
CRK,15.186,120.559998,
CRL,50.459202,4.45382,
CRM,12.5024004,124.6360016,
CRP,27.77039909,-97.50119781,
CRW,38.37310028,-81.59320068,
CSG,32.5163002,-84.93890381,
CSH,65.02999878,35.73333359,
CSK,12.39533,-16.748,
CSX,28.18919945,113.2200012,
CSY,56.09030151,47.34730148,
CTA,37.466801,15.0664,
CTC,-28.59560013,-65.75170136,
CTG,10.4424,-75.513,
CTL,-26.41329956,146.2619934,
CTM,18.50469971,-88.32679749,
CTS,42.77519989,141.6920013,
CTU,30.57850075,103.9469986,
CUC,7.92757,-72.5115,
CUE,-2.88947,-78.984398,
CUF,44.547001,7.62322,
CUL,24.76449966,-107.4749985,
CUM,10.45033264,-64.13047028,
CUN,21.03650093,-86.87709808,
CUQ,-13.761133,143.113311,
CUR,12.1889,-68.959801,
CUU,28.70289993,-105.9649963,
CUZ,-13.53569984,-71.938797,
CVG,39.04880142,-84.6678009,
CVM,23.70330048,-98.95649719,
CVU,39.671501,-31.1136,
CWA,44.77759933,-89.66680145,
CWB,-25.5284996,-49.17580032,
CWL,51.39670181,-3.343329906,
CXB,21.45219994,91.96389771,
CXH,49.29439926,-123.1110001,
CXI,1.98616004,-157.3500061,
CXJ,-29.19709969,-51.1875,
CXR,11.99820042,109.2190018,
CYB,19.68700027,-79.88279724,
CYF,60.14920044,-164.2859955,
CYO,21.61650085,-81.54599762,
CYP,12.07269955,124.5449982,
CYS,41.15570068,-104.8119965,
CYX,68.74060059,161.3379974,
CYZ,16.92989922,121.7529984,
CZE,11.4149437,-69.68090057,
CZL,36.27600098,6.620389938,
CZM,20.5223999,-86.92559814,
CZS,-7.599909782,-72.76950073,
CZU,9.33274,-75.2856,
CZX,31.919701,119.778999,
DAB,29.179899,-81.058098,
DAC,23.843347,90.397783,
DAD,16.04389954,108.1989975,
DAL,32.847099,-96.851799,
DAR,-6.87811,39.202599,
DAT,40.060299,113.482002,
DAU,-9.086759567,143.2079926,
DAV,8.390999794,-82.43499756,
DAX,31.1302,107.4295,
DAY,39.90240097,-84.2193985,
DBA,28.87829971,64.39980316,
DBO,-32.21670151,148.5749969,
DBQ,42.40200043,-90.70950317,
DBV,42.56140137,18.26819992,
DCA,38.8521,-77.037697,
DCM,43.55630112,2.28918004,
DCN,-17.58139992,123.8280029,
DCY,29.323056,100.053333,
DDC,37.76340103,-99.96559906,
DDG,40.0247,124.286003,
DEA,29.96100044,70.48590088,
DEB,47.48889923,21.61529922,
DEC,39.83459854,-88.86569977,
DED,30.189699,78.180298,
DEE,43.95840073,145.6829987,
DEF,32.434399,48.397598,
DEL,28.5665,77.103104,
DEN,39.86169815,-104.6729965,
DFW,32.896801,-97.038002,
DGO,24.12420082,-104.5279999,
DGT,9.333709717,123.3000031,
